Subject Name,Motion,Condition,Score,Timestamp [s],Timestamp
sub03,taichi,Mirror,5,1731842687.613620,2024-11-17_20-24-47
sub03,taichi,Multi View,3,1731842808.198960,2024-11-17_20-26-48
sub03,taichi,3PP,2,1731842999.622620,2024-11-17_20-29-59
sub03,taichi,1PP,7,1731843251.211140,2024-11-17_20-34-11
