Subject Name,Motion,Condition,Score,Timestamp [s],Timestamp
sub06,taichi,3PP,4,1731911424.861910,2024-11-18_15-30-24
sub06,taichi,Mirror,3,1731911547.061620,2024-11-18_15-32-27
sub06,taichi,1PP,7,1731911747.929150,2024-11-18_15-35-47
sub06,taichi,Multi View,3,1731911865.444770,2024-11-18_15-37-45
