Subject Name,Motion,Condition,Score,Timestamp [s],Timestamp
sub05,taichi,1PP,6,1731905909.403110,2024-11-18_13-58-29
sub05,taichi,3PP,4,1731906006.070880,2024-11-18_14-00-06
sub05,taichi,Mirror,5,1731906118.351190,2024-11-18_14-01-58
sub05,taichi,Multi View,5,1731906207.536500,2024-11-18_14-03-27
