Subject Name,Motion,Condition,Score,Timestamp [s],Timestamp
sub08,taichi,Multi View,3,1732108866.059330,2024-11-20_22-21-06
sub08,taichi,1PP,6,1732109037.513710,2024-11-20_22-23-57
sub08,taichi,Mirror,1,1732109340.376680,2024-11-20_22-29-00
sub08,taichi,3PP,1,1732109457.525760,2024-11-20_22-30-57
