Subject Name,Motion,Condition,Action,Unix Time
sub06,taichi,3PP,start,1731911343.504790
sub06,taichi,3PP,end,1731911351.829720
sub06,taichi,3PP,start,1731911362.591480
sub06,taichi,3PP,end,1731911370.820790
sub06,taichi,3PP,start,1731911389.406050
sub06,taichi,3PP,end,1731911397.620550
sub06,taichi,Mirror,start,1731911494.170270
sub06,taichi,Mirror,end,1731911502.371060
sub06,taichi,Mirror,start,1731911513.313320
sub06,taichi,Mirror,end,1731911521.525980
sub06,taichi,Mirror,start,1731911530.631940
sub06,taichi,Mirror,end,1731911538.803210
sub06,taichi,1PP,start,1731911670.046160
sub06,taichi,1PP,end,1731911678.163960
sub06,taichi,1PP,start,1731911698.351330
sub06,taichi,1PP,end,1731911706.537640
sub06,taichi,1PP,start,1731911717.396420
sub06,taichi,1PP,end,1731911725.542020
sub06,taichi,Multi View,start,1731911789.023070
sub06,taichi,Multi View,end,1731911797.488760
sub06,taichi,Multi View,start,1731911807.514520
sub06,taichi,Multi View,end,1731911815.726490
sub06,taichi,Multi View,start,1731911826.643010
sub06,taichi,Multi View,end,1731911834.868720
