sub01,taichi,1PP,start,1731827325.242270
sub01,taichi,1PP,end,1731827333.366250
sub01,taichi,1PP,start,1731827354.959970
sub01,taichi,1PP,end,1731827363.084290
sub01,taichi,1PP,start,1731827374.803940
sub01,taichi,1PP,end,1731827382.941790
sub01,taichi,3PP,start,1731827579.072960
sub01,taichi,3PP,end,1731827587.266340
sub01,taichi,3PP,start,1731827596.440380
sub01,taichi,3PP,end,1731827604.540880
sub01,taichi,3PP,start,1731827680.542120
sub01,taichi,3PP,end,1731827688.679200
sub01,taichi,Mirror,start,1731827876.119560
sub01,taichi,Mirror,end,1731827884.328290
sub01,taichi,Mirror,start,1731827892.520860
sub01,taichi,Mirror,end,1731827900.739570
sub01,taichi,Mirror,start,1731827910.640850
sub01,taichi,Mirror,end,1731827918.725210
sub01,taichi,Multi View,start,1731828204.166240
sub01,taichi,Multi View,end,1731828212.289860
sub01,taichi,Multi View,start,1731828283.537220
sub01,taichi,Multi View,end,1731828291.812520
sub01,taichi,Multi View,start,1731828300.783710
sub01,taichi,Multi View,end,1731828308.963290
