Subject Name,Motion,Condition,Action,Unix Time
sub04,taichi,Multi View,start,1731894084.765850
sub04,taichi,Multi View,end,1731894092.964810
sub04,taichi,Multi View,start,1731894104.783870
sub04,taichi,Multi View,end,1731894113.208520
sub04,taichi,Multi View,start,1731894123.746090
sub04,taichi,Multi View,end,1731894132.027890
sub04,taichi,1PP,start,1731894388.752960
sub04,taichi,1PP,end,1731894396.883610
sub04,taichi,1PP,start,1731894419.617290
sub04,taichi,1PP,end,1731894427.776570
sub04,taichi,1PP,start,1731894439.275860
sub04,taichi,1PP,end,1731894447.408160
sub04,taichi,Mirror,start,1731894645.770290
sub04,taichi,Mirror,end,1731894653.898810
sub04,taichi,Mirror,start,1731894665.511670
sub04,taichi,Mirror,end,1731894673.821240
sub04,taichi,Mirror,start,1731894682.342720
sub04,taichi,Mirror,end,1731894690.499460
sub04,taichi,3PP,start,1731894835.805180
sub04,taichi,3PP,end,1731894843.949460
sub04,taichi,3PP,start,1731894852.468230
sub04,taichi,3PP,end,1731894860.682700
sub04,taichi,3PP,start,1731894868.119250
sub04,taichi,3PP,end,1731894876.164510
