Subject Name,Motion,Condition,Action,Unix Time
sub02,taichi,3PP,start,1731831470.840010
sub02,taichi,3PP,end,1731831479.148180
sub02,taichi,3PP,start,1731831498.803820
sub02,taichi,3PP,end,1731831507.090680
sub02,taichi,3PP,start,1731831516.709470
sub02,taichi,3PP,end,1731831525.228100
sub02,taichi,Mirror,start,1731831678.031420
sub02,taichi,Mirror,end,1731831686.177010
sub02,taichi,Mirror,start,1731831707.280050
sub02,taichi,Mirror,end,1731831715.536460
sub02,taichi,Mirror,start,1731831728.805890
sub02,taichi,Mirror,end,1731831737.022010
sub02,taichi,1PP,start,1731831832.010720
sub02,taichi,1PP,end,1731831840.169770
sub02,taichi,1PP,start,1731831854.594110
sub02,taichi,1PP,end,1731831862.735930
sub02,taichi,1PP,start,1731831874.152740
sub02,taichi,1PP,end,1731831882.338080
sub02,taichi,Multi View,start,1731832277.584150
sub02,taichi,Multi View,end,1731832286.240770
sub02,taichi,Multi View,start,1731832295.832470
sub02,taichi,Multi View,end,1731832304.377220
sub02,taichi,Multi View,start,1731832325.468190
sub02,taichi,Multi View,end,1731832334.317050
