Subject Name,Motion,Condition,Action,Unix Time
sub08,taichi,Multi View,start,1732108666.198700
sub08,taichi,Multi View,end,1732108674.624830
sub08,taichi,Multi View,start,1732108774.917570
sub08,taichi,Multi View,end,1732108783.156690
sub08,taichi,Multi View,start,1732108801.115060
sub08,taichi,Multi View,end,1732108809.425750
sub08,taichi,Multi View,start,1732108820.212430
sub08,taichi,Multi View,end,1732108828.537240
sub08,taichi,1PP,start,1732108984.816060
sub08,taichi,1PP,end,1732108992.932840
sub08,taichi,1PP,start,1732109003.288430
sub08,taichi,1PP,end,1732109011.432250
sub08,taichi,1PP,start,1732109020.522290
sub08,taichi,1PP,end,1732109028.707160
sub08,taichi,Mirror,start,1732109238.994650
sub08,taichi,Mirror,end,1732109247.178190
sub08,taichi,Mirror,start,1732109262.979120
sub08,taichi,Mirror,end,1732109271.135450
sub08,taichi,Mirror,start,1732109294.117470
sub08,taichi,Mirror,end,1732109302.371540
sub08,taichi,3PP,start,1732109392.782540
sub08,taichi,3PP,end,1732109400.980310
sub08,taichi,3PP,start,1732109409.403970
sub08,taichi,3PP,end,1732109417.712510
sub08,taichi,3PP,start,1732109425.605700
sub08,taichi,3PP,end,1732109433.762760
