Subject Name,Motion,Condition,Action,Unix Time
sub07,taichi,Mirror,start,1731983652.335210
sub07,taichi,Mirror,end,1731983660.674330
sub07,taichi,Mirror,start,1731983674.523020
sub07,taichi,Mirror,end,1731983682.876340
sub07,taichi,Mirror,start,1731983691.991010
sub07,taichi,Mirror,end,1731983700.247820
sub07,taichi,Multi View,start,1731983882.375220
sub07,taichi,Multi View,end,1731983890.601910
sub07,taichi,Multi View,start,1731983899.888130
sub07,taichi,Multi View,end,1731983908.306050
sub07,taichi,Multi View,start,1731983917.104890
sub07,taichi,Multi View,end,1731983925.400580
sub07,taichi,3PP,start,1731983993.734070
sub07,taichi,3PP,end,1731984002.030020
sub07,taichi,3PP,start,1731984010.173350
sub07,taichi,3PP,end,1731984018.469510
sub07,taichi,3PP,start,1731984027.393700
sub07,taichi,3PP,end,1731984035.578190
sub07,taichi,1PP,start,1731984207.491800
sub07,taichi,1PP,end,1731984215.703320
sub07,taichi,1PP,start,1731984225.823070
sub07,taichi,1PP,end,1731984233.938510
sub07,taichi,1PP,start,1731984244.212230
sub07,taichi,1PP,end,1731984252.368330
